CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
179956,IPO,"DoubleDown Interactive Co., Ltd.","Seoul, KOREA, REPUBLIC OF",DDI,Nasdaq NM,2020-06-02,-,-,$100.0 mil.,"J.P. Morgan, BofA Securities, Macquarie Capital"
1805833,IPO,Trebia Acquisition Corp.,"New York, NY",TREB.U,NYSE,2020-06-01,10,-,$375.0 mil.,"Credit Suisse, BofA Securities, Moelis &  Company"
1799788,IPO,"Greenwich LifeSciences, Inc.","Stafford, TX",GLSI,Nasdaq NM,2020-06-01,-,-,$9.20 mil.,Aegis Capital Corp.
1538927,IPO,"Forma Therapeutics Holdings, Inc.","Watertown, MA",FMTX,Nasdaq NM,2020-05-29,-,-,$150.0 mil.,"Jefferies, SVB Leerink, Credit Suisse"
1808158,IPO,Repare Therapeutics Inc.,"St-Laurent, Québec, CANADA",RPTX,Nasdaq NM,2020-05-29,-,-,$100.0 mil.,"Morgan Stanley, Goldman Sachs & Co., Cowen, Piper Sandler"
1580063,IPO,"Progenity, Inc.","San Diego, CA",PROG,Nasdaq NM,2020-05-27,-,-,$100.0 mil.,"Piper Sandler, Wells Fargo Securities, Baird, Raymond James, BTIG"
1792267,IPO,Burning Rock Biotech Ltd,"Guangzhou, CHINA",BNR,Nasdaq NM,2020-05-22,-,-,$100.0 mil.,"Morgan Stanley, BofA Securities, Cowen, CMBI, Tiger Brokers"
1802768,IPO,Royalty Pharma plc,"New York, NY",,Nasdaq NM,2020-05-22,-,-,$100.0 mil.,"J.P. Morgan, Morgan Stanley, BofA Securities, Goldman Sachs & Co., Evercore ISI, Cowen, Citigroup, SunTrust Robinson Humphrey, UBS Investment Bank"
1649094,IPO,"Vaxcyte, Inc.","Foster City, CA",PCVX,Nasdaq NM,2020-05-22,-,-,$100.0 mil.,"BofA Securities, Jefferies, Evercore ISI, Cantor, Needham & Company"
1599901,IPO,"Avidity Biosciences, Inc.","La Jolla, CA",RNA,Nasdaq NM,2020-05-22,-,-,$100.0 mil.,"Cowen, SVB Leerink, Credit Suisse, Wells Fargo Securities"
1733294,IPO,Generation Bio Co.,"Cambridge, MA",GBIO,Nasdaq NM,2020-05-22,-,-,$125.0 mil.,"J.P. Morgan, Jefferies, Cowen, Wedbush PacGrow Life Sciences"
1803901,IPO,Hudson Executive Investment Corp.,"New York, NY",HEC,Nasdaq NM,2020-05-21,10,-,$300.0 mil.,"Citigroup, J.P. Morgan"
1805387,IPO,ARYA Sciences Acquisition Corp II,"New York, NY",ARYB,Nasdaq NM,2020-05-19,10,-,$125.0 mil.,"Jefferies, Goldman Sachs & Co."
1580864,IPO,"Vroom, Inc.","New York, NY",VRM,Nasdaq NM,2020-05-18,15,17,$100.0 mil.,"Goldman Sachs & Co., BofA Securities, Allen & Co. Inc., Wells Fargo Securities, Stifel, William Blair & Co., Baird, JMP Securities, Wedbush PacGrow Life Sciences"
180177,IPO,Applied Molecular Transport Inc.,"South San Francisco, CA",AMTI,Nasdaq NM,2020-05-18,12,14,$100.0 mil.,"BofA Securities, Jefferies, SVB Leerink"
1803914,IPO,Mountain Crest Acquisition Corp.,"New York, NY",MCAC,Nasdaq NM,2020-05-15,10,-,$50.0 mil.,Chardan Capital Markets
1794669,IPO,"Shift4 Payments, Inc.","Allentown, PA",FOUR,NYSE,2020-05-15,19,21,$100.0 mil.,"Citigroup, Credit Suisse, Goldman Sachs & Co., BofA Securities, Morgan Stanley, RBC Capital Markets, Evercore ISI, Raymond James, SunTrust Robinson Humphrey, Wolfe Capital Markets and Advisory, Citizens Capital Markets&#8203;, Scotiabank / Howard Weil, TD"
1795579,IPO,Calliditas Therapeutics AB,"Stockholm, SWEDEN",CALT,Nasdaq NM,2020-05-14,-,-,$86.3 mil.,"Citigroup, Jefferies, Stifel, Carnegie"
1801198,IPO,Legend Biotech Corp,"Somerset,, NJ",LEGN,Nasdaq NM,2020-05-13,18,20,$100.0 mil.,"Morgan Stanley, J.P. Morgan, Jefferies"
1793862,IPO,Dada Nexus Ltd,"Shanghai, CHINA",DADA,Nasdaq NM,2020-05-12,15,17,$100.0 mil.,"Goldman Sachs & Co., BofA Securities, Jefferies"
1792581,IPO,"Kiromic Biopharma, Inc.","Houston, TX",KRBP,NYSE,2020-05-11,-,-,$20.0 mil.,"ThinkEquity, LLC"
1746473,IPO,"Pliant Therapeutics, Inc.","South San Francisco, CA",PLRX,Nasdaq NM,2020-05-11,14,16,$110.4 mil.,"Citigroup, Cowen, Piper Sandler, Needham & Company"
1809104,IPO,Foley Trasimene Acquisition Corp.,"Las Vegas, NV",WPF.U,NYSE,2020-05-08,10,-,$750.0 mil.,"Credit Suisse, BofA Securities"
1775898,IPO,uCloudlink Group Inc.,"Kowloon, HONG KONG",UCL,Nasdaq NM,2020-05-04,18,20.5,$50.0 mil.,"I-Bankers Securities, Inc., Valuable Capital, Tiger Brokers, Loop Capital Markets, LLC"
1804176,IPO,Longview Acquisition Corp.,"New York, NY",LGVW,NYSE,2020-05-01,10,-,$300.0 mil.,"Cowen, UBS Investment Bank"
1800682,IPO,Jaws Acquisition Corp.,"Miami Beach, FL",JWS.U,NYSE,2020-04-28,10,-,$500.0 mil.,"Credit Suisse, Morgan Stanley, Citigroup"
1807707,IPO,Novus Capital Corp,"Indianapolis, IN",NOVSU,Nasdaq NM,2020-04-28,10,-,$100.0 mil.,Early Bird Capital
1799290,IPO,Ebang International Holdings Inc.,"Zhejiang, CHINA",EBON,Nasdaq NM,2020-04-24,-,-,$100.0 mil.,"AMTD Global Markets, Loop Capital Markets, LLC"
1771910,IPO,ADC Therapeutics SA,"Epalinges, SWITZERLAND",ADCT,NYSE,2020-04-24,16,18,$213.1 mil.,"Morgan Stanley, BofA Securities, Cowen"
1782309,IPO,Skillful Craftsman Education Technology Ltd,"Jiangsu Province, CHINA",NGJY,Nasdaq NM,2020-04-24,4.5,5.5,$19.0 mil.,"The Benchmark Company, Axiom Capital Management, Inc."
1805077,IPO,B. Riley Principal Merger Corp. II,"New York, NY",BMRG.U,NYSE,2020-04-23,10,-,$200.0 mil.,B. Riley FBR
1810140,IPO,1847 Goedeker Inc.,"Ballwin, MO",GOED,NYSE,2020-04-22,14,16,$11.5 mil.,"ThinkEquity, LLC"
1795589,IPO,Kingsoft Cloud Holdings Ltd,"Beijing, CHINA",KC,Nasdaq NM,2020-04-17,16,18,$517.5 mil.,"J.P. Morgan, UBS Investment Bank, Credit Suisse, CICC"
1763950,IPO,Lantern Pharma Inc.,"Dallas, TX",LTRN,Nasdaq NM,2020-04-16,15,17,$28.8 mil.,"ThinkEquity, LLC, Dougherty &  Company"
1784567,IPO,"Harbor Custom Development, Inc.","Gig Harbor, WA",HCD,NYSE,2020-03-31,6,8,$17.3 mil.,"ThinkEquity, LLC"
1799332,IPO,GAN Ltd,"London, UNITED KINGDOM",GAN,Nasdaq NM,2020-03-25,6.5,8.5,$35.0 mil.,"B. Riley FBR, Macquarie Capital , Craig-Hallum Capital Group"
1789299,IPO,UTime Ltd,"Shenzhen, CHINA",UTME,Nasdaq NM,2020-03-18,4,5,$21.6 mil.,"ViewTrade Securities, Inc."
1798562,IPO,Sustainable Opportunities Acquisition Corp.,"Dallas, TX",SOAC.U,NYSE,2020-03-17,10,-,$300.0 mil.,Citigroup
1664710,IPO,"Keros Therapeutics, Inc.","Lexington, MA",KROS,Nasdaq NM,2020-03-16,14,16,$86.3 mil.,"Jefferies, SVB Leerink, Piper Sandler, H.C. Wainwright & Co."
1787518,IPO,Brilliant Acquisition Corp,"Shanghai, CHINA",BRLIU,Nasdaq NM,2020-03-13,10,-,$40.0 mil.,Early Bird Capital
1580149,IPO,BioVie Inc.,"Los  Angeles, CA",BIVI,OTC BB,2020-03-11,-,-,$8.13 mil.,"ThinkEquity, LLC"
1799850,IPO,Chardan Healthcare Acquisition 2 Corp.,"New York, NY",CHAQ.U,NYSE,2020-03-09,10,-,$85.0 mil.,Chardan Capital Markets
1797336,IPO,"Ayala Pharmaceuticals, Inc.","Rehovot, ISRAEL",AYLA,Nasdaq NM,2020-03-06,14,16,$50.0 mil.,"Citigroup, Jefferies, Oppenheimer & Co. Inc., Raymond James"
1800347,IPO,CC Neuberger Principal Holdings I,"New York, NY",PCPL.U,NYSE,2020-03-06,10,-,$300.0 mil.,"Goldman Sachs & Co., BofA Securities"
1725160,IPO,"Zentalis Pharmaceuticals, LLC","New York, NY",ZNTL,Nasdaq NM,2020-03-06,16,18,$100.0 mil.,"Morgan Stanley, Jefferies, SVB Leerink, Guggenheim Securities"
1327273,IPO,"Lyra Therapeutics, Inc.","Watertown, MA",LYRA,Nasdaq NM,2020-03-06,14,16,$57.5 mil.,"BofA Securities, Jefferies, William Blair & Co., BTIG"
1801368,IPO,Fortress Value Acquisition Corp.,"New York, NY",FVAC.U,NYSE,2020-03-06,10,-,$300.0 mil.,"Deutsche Bank Securities, Morgan Stanley, RBC Capital Markets"
